sample_id,experiment_id,flowrate,T_set,TOP_fraction,oleylamine_fraction,ODE_extra_fraction,r0_sphere,sigma_sphere,I0_sphere,I0_fraction_sphere,disordered_flag,crystalline_flag,dilute_sphere_flag
RxnB_20190329_1554084259,RxnB_20190329,35.85330838210811,282.0900084318185,0.21960889517737625,0.005548365456150348,0.17458363062329105,,,,,False,False,False
RxnB_20190329_1554087010,RxnB_20190329,77.8245949558245,293.5248720816606,0.004531041133291047,0.2719499954395691,0.27597562591917224,29.648277268004875,0.09881923264484282,135.43383038310276,0.7446942968962736,True,False,True
RxnB_20190329_1554089770,RxnB_20190329,92.21961503313312,221.78201523786223,0.29793368554164623,0.002980103896034115,0.12843442049266043,,,,,False,False,False
RxnB_20190329_1554092743,RxnB_20190329,99.17547998643366,220.43896966250577,0.2865541137259955,0.18527180892851774,0.29501234404627097,,,,,False,False,False
RxnB_20190329_1554100902,RxnB_20190329,20.900037484363043,287.8575000151861,0.03785836389690464,0.2698945158952799,0.1534742854113252,27.555859186946687,0.11137319153917147,31.758151501631787,0.7664739880016653,True,False,True
RxnB_20190329_1554111327,RxnB_20190329,52.2703856754987,241.94627931937168,0.008218127821396831,0.04724465450209404,0.07027545937875607,20.11992078198088,0.0868022546820294,32.38492131091556,0.9846709884841209,False,False,True
RxnB_20190329_1554115566,RxnB_20190329,71.47932448831104,308.7818272062158,0.25764305076357547,0.0017464885885063112,0.27270338153750817,,,,,False,False,False
RxnB_20190329_1554119377,RxnB_20190329,99.40911775897042,293.3000448378897,0.07304768099637939,0.11015787696719337,0.13017769895099546,7.659011939511213,0.9090909091957058,1.4385759775400198,0.5695467346147892,False,False,True
RxnB_20190329_1554124920,RxnB_20190329,20.653923997211454,225.29763870080885,0.0010939572852946666,0.2891264509153748,0.16599273205551582,,,,,False,False,False
RxnB_20190329_1554128931,RxnB_20190329,68.85974160510604,307.5149280113381,0.19225849965986003,0.2732731968484831,0.002774174649871211,,,,,False,False,False
R0_201811_1541276961,R0_201811,80.0,290.0,0.25,0.0,0.0,19.848750457284375,0.019954984266885994,2.4776320784320354,0.9004232577397069,False,False,True
R0_201811_1541278654,R0_201811,80.0,290.0,0.1,0.1,0.0,20.58522820607405,0.056190792223163144,2.1932232949160153,0.9000710439870313,False,False,True
R0_201811_1541280343,R0_201811,80.0,290.0,0.0,0.25,0.0,28.13446363597874,0.2357624588545004,91.05972297136236,0.5697363894295923,True,False,True
R0_201811_1541282032,R0_201811,80.0,290.0,0.0,0.1,0.1,24.114250214128187,0.10433352896680412,125.73502658412431,0.797435439928976,True,False,True
R0_201811_1541293284,R0_201811,80.0,290.0,0.0,0.0,0.25,18.794966193422187,0.16417619501407177,89.2549698873564,0.9980212311120775,False,False,True
R0_201811_1541294972,R0_201811,80.0,290.0,0.1,0.0,0.1,25.35843835427881,0.08612665572833852,23.950449011730957,0.8644325892192962,True,False,True
R0_201811_1541306222,R0_201811,40.0,290.0,0.0,0.25,0.0,27.91369832196048,0.08911619325570161,28.367034357369903,0.8253934634619908,True,False,True
R0_201811_1541309408,R0_201811,40.0,290.0,0.0,0.1,0.1,25.895196479146037,0.2706114482972419,31.178938880304592,0.33524365304442866,True,False,True
R0_201811_1541312605,R0_201811,40.0,290.0,0.0,0.0,0.25,24.584978831663687,0.1431288212788642,162.55497647989824,1.0,False,False,True
R0_201811_1541315791,R0_201811,40.0,290.0,0.1,0.0,0.1,22.704389158772955,0.015606160903839428,3.0522738478148455,0.9212356988686378,False,False,True
R0_201811_1541320673,R0_201811,80.0,260.0,0.25,0.0,0.0,,,,,False,False,False
R0_201811_1541359696,R0_201811,80.0,260.0,0.0,0.25,0.0,21.130575874836243,0.12019076095588216,14.312286885985733,0.9892505594632509,False,False,True
R0_201811_1541361397,R0_201811,80.0,260.0,0.0,0.1,0.1,22.984282969876777,0.1004765800638058,62.1431734855541,0.9942334675003803,False,False,True
R0_201811_1541363102,R0_201811,80.0,260.0,0.0,0.0,0.25,20.604866660088614,0.11720399598712103,91.42132059474474,0.9986170847351685,False,False,True
R0_201811_1541364785,R0_201811,80.0,260.0,0.1,0.0,0.1,18.135003557464596,0.2857090427644369,0.3696925595259659,0.6225765432023278,False,False,True
R0_201811_1541366472,R0_201811,80.0,260.0,0.1,0.1,0.1,,,,,False,False,False
R0_201811_1541369657,R0_201811,40.0,260.0,0.25,0.0,0.0,,,,,False,False,False
R0_201811_1541372847,R0_201811,40.0,260.0,0.1,0.1,0.0,,,,,False,False,False
R0_201811_1541376040,R0_201811,40.0,260.0,0.0,0.25,0.0,21.13172008617421,0.0524332935686585,1.8058841211528391,0.920519951803327,False,False,True
R0_201811_1541379229,R0_201811,40.0,260.0,0.0,0.1,0.1,23.69500233698392,0.05198027916050804,8.999533617520488,0.9823838756789948,False,False,True
R0_201811_1541382422,R0_201811,40.0,260.0,0.0,0.0,0.25,23.969793582041245,0.10498240246703064,72.08787292398017,0.9968747844467943,False,False,True
R0_201811_1541385619,R0_201811,40.0,260.0,0.1,0.0,0.1,,,,,False,False,False
R0_201811_1541388814,R0_201811,40.0,260.0,0.1,0.1,0.1,,,,,False,False,False
R0_201811_1541390510,R0_201811,80.0,290.0,0.1,0.0,0.0,24.915907322999953,0.08867590282324397,22.994040539844587,0.9208719136683126,True,False,True
R0_201811_1541393898,R0_201811,80.0,290.0,0.0,0.0,0.1,19.377786647285866,0.15297620335803574,97.0019184867923,0.9992958989532496,False,False,True
R0_201811_1541397087,R0_201811,40.0,290.0,0.1,0.0,0.0,25.565936757476607,0.052153182193672015,5.419153825372717,0.9515644106629947,False,False,True
