,experiment_id,sample_id,system_class,system_class_xval,diffuse_binary,disordered_binary,crystalline_binary,diffuse_binary_xval,diffuse_binary_pr,disordered_binary_xval,disordered_binary_pr,crystalline_binary_xval,crystalline_binary_pr
1659,RxnB_201602,RxnB_201602_1455319039,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1653,RxnB_201602,RxnB_201602_1455320455,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1647,RxnB_201602,RxnB_201602_1455320052,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1669,RxnB_201602,RxnB_201602_1455317995,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1643,RxnB_201602,RxnB_201602_1455320258,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1673,RxnB_201602,RxnB_201602_1455320326,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1686,RxnB_201602,RxnB_201602_1455320790,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1691,RxnB_201602,RxnB_201602_1455320736,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1638,RxnB_201602,RxnB_201602_1455320627,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1668,RxnB_201602,RxnB_201602_1455317517,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1639,RxnB_201602,RxnB_201602_1455320289,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1682,RxnB_201602,RxnB_201602_1455320073,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1671,RxnB_201602,RxnB_201602_1455320158,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1689,RxnB_201602,RxnB_201602_1455320114,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1696,RxnB_201602,RxnB_201602_1455320211,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1656,RxnB_201602,RxnB_201602_1455317622,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1640,RxnB_201602,RxnB_201602_1455320352,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1650,RxnB_201602,RxnB_201602_1455320395,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1688,RxnB_201602,RxnB_201602_1455320593,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1681,RxnB_201602,RxnB_201602_1455320551,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1699,RxnB_201602,RxnB_201602_1455320658,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1674,RxnB_201602,RxnB_201602_1455320689,diffuse,diffuse,True,False,False,True,True,False,False,False,False
1645,RxnB_201602,RxnB_201602_1455321192,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1660,RxnB_201602,RxnB_201602_1455321160,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1664,RxnB_201602,RxnB_201602_1455321093,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1683,RxnB_201602,RxnB_201602_1455320884,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
1684,RxnB_201602,RxnB_201602_1455320837,diffuse__diffuse,diffuse,True,False,False,True,True,False,False,False,False
1695,RxnB_201602,RxnB_201602_1455321121,diffuse__diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
1678,RxnB_201602,RxnB_201602_1455321630,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,True,False,True,True
1646,RxnB_201602,RxnB_201602_1455321255,diffuse__diffuse__crystalline,diffuse__diffuse,True,False,True,True,True,False,False,False,False
1670,RxnB_201602,RxnB_201602_1455321354,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,True,True,False,False,True,True
1679,RxnB_201602,RxnB_201602_1455321809,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1667,RxnB_201602,RxnB_201602_1455321603,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1655,RxnB_201602,RxnB_201602_1455321512,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1694,RxnB_201602,RxnB_201602_1455321751,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1697,RxnB_201602,RxnB_201602_1455321400,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1657,RxnB_201602,RxnB_201602_1455321451,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1666,RxnB_201602,RxnB_201602_1455321690,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1637,RxnB_201602,RxnB_201602_1455321868,diffuse__diffuse__crystalline,diffuse__diffuse__crystalline,True,False,True,False,True,False,False,True,True
1652,RxnB_201602,RxnB_201602_1455320945,unidentified,unidentified,False,False,False,False,False,False,False,False,False
1658,RxnB_201602,RxnB_201602_1455320967,unidentified,unidentified,False,False,False,False,False,False,False,False,False
83,RxnB_201902,RxnB_201902_1549529862,diffuse,diffuse,True,False,False,True,True,False,False,False,False
84,RxnB_201902,RxnB_201902_1549554974,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
86,RxnB_201902,RxnB_201902_1549519773,diffuse,diffuse,True,False,False,True,True,False,False,False,False
93,RxnB_201902,RxnB_201902_1549515274,diffuse,diffuse__diffuse,True,False,False,True,True,False,False,False,False
